image,xmin,ymin,xmax,ymax,label
Drone_020.mp4#t=180.666667,2650.9317156747893,1326.2400329589846,2990.6654170571696,1859.0399230957032,watchphone
Drone_020.mp4#t=180.5,2668.206273430178,1337.7599670410154,2999.302805763824,1873.4399230957035,watchphone
Drone_020.mp4#t=180.333333,2673.9643861293343,1346.3999450683593,3002.182081771321,1882.080010986328,watchphone
Drone_020.mp4#t=180.166667,2650.9317156747893,1326.2400329589846,3016.5775831771325,1867.6800109863282,watchphone
Drone_020.mp4#t=180,2671.0853297797557,1331.9999450683595,2990.6654170571696,1867.6800109863284,watchphone
Drone_020.mp4#t=179.833333,2656.6898283739456,1314.719989013672,2984.907304358013,1844.6399230957031,watchphone
Drone_020.mp4#t=179.666667,2662.4479410731024,1300.3199890136718,2984.907304358013,1844.6399230957031,watchphone
Drone_020.mp4#t=178.833333,2731.5463917525767,1190.8800109863282,3051.12669868791,1726.5599670410156,watchphone
Drone_020.mp4#t=178.666667,2756.738519212746,1115.2800109863285,3076.3188261480786,1650.9599670410157,watchphone
Drone_020.mp4#t=178.5,2799.925023430178,1025.2800109863285,3119.505330365511,1560.9599670410157,watchphone
Drone_020.mp4#t=178.333333,2817.9194001874416,964.0800109863284,3137.4997071227745,1499.759967041016,watchphone
Drone_020.mp4#t=178.166667,2817.9194001874416,884.8800109863283,3137.4997071227745,1420.5599670410159,watchphone
Drone_020.mp4#t=178,2803.52389878163,812.8800109863283,3123.1042057169634,1348.5599670410159,watchphone
Drone_020.mp4#t=177.833333,2803.52389878163,748.0800109863284,3123.1042057169634,1283.759967041016,watchphone
Drone_020.mp4#t=177.666667,2763.9362699156513,676.0800109863284,3083.5165768509837,1211.759967041016,watchphone
Drone_020.mp4#t=177.5,2760.3373945641993,636.4800109863284,3079.917701499532,1172.159967041016,watchphone
Drone_020.mp4#t=177.333333,2738.744142455483,589.6800109863284,3058.3244493908155,1125.3599670410158,watchphone
Drone_020.mp4#t=177.166667,2738.744142455483,524.8800109863283,3058.3244493908155,1060.5599670410159,watchphone
Drone_020.mp4#t=177,2713.552014995314,496.08001098632826,3033.132321930647,1031.759967041016,watchphone
Drone_020.mp4#t=175.333333,1942.672870782568,1565.280010986328,2296.8022932286785,2132.639923095703,stand
Drone_020.mp4#t=174.166667,2630.7778819119026,223.2,2838.073233950328,629.2800109863283,watchphone
Drone_020.mp4#t=174,2599.1078227507032,252.0,2820.79845653702,626.3999450683592,watchphone
Drone_020.mp4#t=173.833333,2607.745211457357,249.11998901367187,2812.161287488285,637.9199890136719,watchphone
Drone_020.mp4#t=173.666667,2604.8659354498595,246.23997802734374,2812.161287488285,640.7999450683594,watchphone
Drone_020.mp4#t=173.5,2564.558707239925,243.35996704101564,2817.9194001874407,658.0800109863281,watchphone
Drone_020.mp4#t=173.333333,2593.3497100515465,260.63997802734383,2815.040343837864,655.1999450683594,watchphone
Drone_020.mp4#t=173.166667,2637.975632614808,257.0399780273438,2842.391708645736,654.4800109863281,stand
Drone_020.mp4#t=173.166667,2637.975632614808,257.0399780273438,2842.391708645736,654.4800109863281,watchphone
Drone_020.mp4#t=173,2679.7227184864105,263.51998901367193,2878.3804621602626,660.9599670410158,watchphone
Drone_020.mp4#t=172.833333,2714.2718339971884,272.15996704101565,2912.92979732896,660.9600219726562,watchphone
Drone_020.mp4#t=172.666667,2728.667335402999,272.15996704101565,2921.5671860356133,649.4399780273437,watchphone
Drone_020.mp4#t=172.5,2737.304724109653,283.6800109863281,2927.3252987347705,678.2399780273438,watchphone
Drone_020.mp4#t=172.333333,2731.5463917525767,283.6800109863281,2921.5671860356133,663.8399780273437,watchphone
Drone_020.mp4#t=172.166667,2717.1508903467666,272.15996704101565,2930.204574742268,649.4399780273437,watchphone
Drone_020.mp4#t=172,2737.304724109653,266.40000000000003,2935.9626874414253,669.6,watchphone
Drone_020.mp4#t=171.833333,2734.425448102156,252.0,2941.720800140581,649.4399780273437,watchphone
Drone_020.mp4#t=171.666667,2743.0628368088096,243.35996704101564,2956.116301546392,652.3200439453127,watchphone
Drone_020.mp4#t=171.5,2780.491228327085,240.4800109863281,3002.182081771321,629.2799560546875,watchphone
Drone_020.mp4#t=171.333333,2846.7104029990633,240.4800109863281,3062.642924086223,652.3200439453127,watchphone
Drone_020.mp4#t=171.166667,2921.5671860356133,249.11998901367187,3160.5325972352393,672.4799560546875,watchphone
Drone_020.mp4#t=171,2996.4235297563264,280.8,3261.301107075913,660.9600219726562,watchphone
Drone_020.mp4#t=171,2592.629891049673,272.88001098632816,2799.925023430178,710.6399780273438,walk
Drone_020.mp4#t=170.833333,3082.796538191191,272.15996704101565,3327.520062089972,686.8799560546875,watchphone
Drone_020.mp4#t=170.666667,3169.169546626055,289.43997802734384,3416.772346532334,718.5600219726563,watchphone
Drone_020.mp4#t=170.5,3255.5425550609184,295.2,3517.5408563730084,721.4399780273437,watchphone
Drone_020.mp4#t=170.333333,3339.036726804124,303.83997802734376,3609.6719775070287,727.2,watchphone
Drone_020.mp4#t=170.166667,3387.981343720712,321.1199890136719,3667.253983130272,732.9600219726562,watchphone
Drone_020.mp4#t=170.166667,2965.4732895970005,163.4399780273438,3231.790065604499,669.6,walk
Drone_020.mp4#t=170,3411.014233833177,326.8800109863282,3704.6823746485466,738.7200439453127,watchphone
Drone_020.mp4#t=169.833333,3431.1678479381444,306.7199890136718,3710.4404873477038,747.3600219726562,watchphone
Drone_020.mp4#t=169.666667,3425.409735238988,300.9599670410157,3742.110766166823,753.1200439453125,watchphone
